operator_name,country,city,cargo_aircraft_count,fleet_count,priority,enrichment_status,website,phone,address,profile_url,source,base_icao,aircraft_types
STAR AVIATION,Algeria,Hassi Messaoud,3,25,high,pending,https://staraviationservices.com/about-us/,213 29 73 0 122,"BP 509 ROUTE IN AMENAS, HASSI MESSAOUD, OURGLA, Algeria, Email:",https://www.aircharterguide.com/Operator_Info/STAR+AVIATION/99843/Hassi+Messaoud/69864,ACG,DAUH,172L|200|414A|A.109 A Mk.II|B200 King Air|BE-200 (SUPER KING AIR)|Beech 1900 D|CE-525A (CITATION JET 2)|CE-560-XLS+ (Citation XLS+)|Citation CJ2+|Citation XLS+|DHC-6 (TWIN OTTER)|DHC-6 Twin Otter 300|DHC-6 Twin Otter 310|PA-31-350 (CHIEFTAIN)|T206H
"STAR MARIANAS AIR, INC",Northern Mariana Islands,Tinian I,2,13,medium,pending,https://www.starmarianasair.com/,+16704339989; +16704339994; 670-433-9996,"WEST TINIAN INTERNATIONAL AIRPORT, HANGAR ONE - BOX 520461, TINIAN, Northern Mariana Islands","https://www.aircharterguide.com/Operator_Info/STAR+MARIANAS+AIR,+INC/98361/Tinian+I/68002",ACG,PGWT,PA-31-350 (CHIEFTAIN)|PA-32-300 (CHEROKEE SIX)
SUMMIT AIR CHARTERS LIMITED PARTNERSHIP,Canada,Yellowknife,8,23,high,pending,https://flysummitair.com/,+16823752700; +16823752728; 867-873-4464,"27 YELLOWKNIFE AIRPORT, 100 DICKINS STREET, YELLOWKNIFE, NT, Canada",https://www.aircharterguide.com/Operator_Info/SUMMIT+AIR+CHARTERS+LIMITED+PARTNERSHIP/96252/Yellowknife/65443,ACG,CYZF,AS-ATR72-200|BAE-146/RJ100 (AVRO)|BAE-146/RJ85 (AVRO)|DHC-8-100 (DASH 8)|DHC-8-300 (DASH 8-300)|DO-228|SC7 (SKYVAN)
"SUNWEST AVIATION, LTD.",Canada,Calgary,8,23,high,pending,https://www.sunwestaviation.ca/,+14032755900; +14032758121; +18882914566; 403-275-8121,"217 AERO COURT NE, CALGARY, AB, Canada, Fax: 403-275-5900","https://www.aircharterguide.com/Operator_Info/SUNWEST+AVIATION,+LTD./375/Calgary/394",ACG,CYYC,BD-100-1A10 (CHALLENGER 300)|BD-100-1A10 (CHALLENGER 350)|BD-100-1A10 (CL-3500)|BE-1900D (COMMUTER)|BE-200 (SUPER KING AIR)|BE-350 (SUPER KING AIR)|CE-560-XL (CITATION EXCEL)|CL-604 (CHALLENGER 604)|CL-605 (CHALLENGER 605)|DHC-8-200Q (DASH 8 200Q)|DHC-8-300Q (DASH 8 300Q)|G-150 (GULFSTREAM 150)|G-65
SURJET CHARTER,United States,Fort Lauderdale,4,4,high,pending,https://surjet-charter-llc.careerplug.com/,954-874-0955,"1900 EXECUTIVE AIRPORT WAY, FORT LAUDERDALE, FL, United States, Email:",https://www.aircharterguide.com/Operator_Info/SURJET+CHARTER/96239/Fort+Lauderdale/65429,ACG,KFXE,G-280|G-V (GULFSTREAM V)|LR-45 (LEARJET 45)
SWISS HELICOPTER AG,Switzerland,Gruyeres,11,29,high,pending,https://swisshelicopter.ch/EN/,41 81 2526344,"HARTBERTSTR. 11, CHUR, Switzerland, Fax: 41 81 2527158",https://www.aircharterguide.com/Operator_Info/SWISS+HELICOPTER+AG/98500/Gruyeres/68196,ACG,LSGT,AS 350 B3|AS-350B-3 (EUROCOPTER)|EC 130 T2|EC-120-B (COLIBRI)|EC-130 T2
"TALKEETNA AIR TAXI, INC.",United States,Talkeetna,1,10,medium,pending,,907-733-2218,"TALKEETNA STATE ARPT., 14212 E. 2ND STREET, TALKEETNA, AK, United States","https://www.aircharterguide.com/Operator_Info/TALKEETNA+AIR+TAXI,+INC./624/Talkeetna/676",ACG,PATK,CE-185A (SKYWAGON)|DHC-3T (TURBO OTTER)|R-44 II
TRANSNORTHERN AVIATION,United States,Anchorage,3,8,high,pending,,907-245-1879,"3350 OLD INTERNATIONAL AIRPORT RD., ANCHORAGE, AK, United States, Fax: 907-245-1878",https://www.aircharterguide.com/Operator_Info/TRANSNORTHERN+AVIATION/97527/Anchorage/67018,ACG,PANC,BE-18 (BEECH 18)|BE-200 (SUPER KING AIR)|DC-3R4D (SUPER DC-3)|SUPER R4D-8|SW-227AC (METRO III/EXPEDITOR)
TRAVIAN FLIGHT SERVICES PVT. LTD.,India,Ahmedabad,2,2,medium,pending,,91 484 4035020,"2ND FLOOR, SARATHY ENCLAVE, 1ST CROSS, CHERUPARAMBATH ROAD, KADAVANTHRA KOCHI, India",https://www.aircharterguide.com/Operator_Info/TRAVIAN+FLIGHT+SERVICES+PVT.+LTD./100343/Ahmedabad/70997,ACG,VAAH,CE-525A (CITATION JET 2)|G-150 (GULFSTREAM 150)
"USA JET AIRLINES, INC.",United States,Detroit,12,28,high,pending,https://usajet.aero/company-history/,+13307047410; +17345477200; 734-547-7200,"WILLOW RUN ARPT., 2068 E ST., BELLEVILLE, MI, United States","https://www.aircharterguide.com/Operator_Info/USA+JET+AIRLINES,+INC./2450/Detroit/2693",ACG,KYIP,727-223(F)|727-225|DA-20 (FALCON 20)|DA-20-D (FALCON 20)|DA-20-E (FALCON 20)|DC-9-15F|DC-9-32F|DC-9-33F|DC-9-83(MD-83)|FALCON 20|FAN JET FALCON|MD-83SF|MD-88|MD-88(SF)
VALAIR PRIVATE JETS,Portugal,Cascais,3,4,high,pending,https://www.valairprivatejets.com/en/valair/,351 21 4450695,"AERODROMO MUNICIPAL DE CASCAIS, HANGAR 4, TIRES, Portugal",https://www.aircharterguide.com/Operator_Info/VALAIR+PRIVATE+JETS/97646/Cascais/67159,ACG,LPCS,CE-525 (CITATION JET 1)|CE-525B (CITATION JET 3)
VALAN INTERNATIONAL CARGO CHARTER,Moldova,Chisinau,6,8,high,pending,,373 22 84 3399,"CHISINAU INT'L AIRPORT, BD. DACIA 60/13, CHISINAU, Moldova",https://www.aircharterguide.com/Operator_Info/VALAN+INTERNATIONAL+CARGO+CHARTER/99088/Chisinau/68917,ACG,LUKK,An-26 100|An-32 B|MI-8-MTV1
VAN AIR EUROPE A.S.,Czech Republic,Brno,2,5,medium,pending,https://www.vanair.aero/,420 5 455 21240,"BRNO AIRPORT, BRNO, Czech Republic, Fax: 420 5 455 21242",https://www.aircharterguide.com/Operator_Info/VAN+AIR+EUROPE+A.S./97874/Brno/67437,ACG,LKTB,L-410 UVP-E9 Turbolet|LET-410|Let L-410 Turbolet
"VENTURA AIR SERVICES, INC.",United States,Miami,1,11,medium,pending,,631-756-5500,"2630 ELM HILL PIKE, SUITE 325, NASHVILLE, TN, United States","https://www.aircharterguide.com/Operator_Info/VENTURA+AIR+SERVICES,+INC./2785/Miami/3049",ACG,KOPF,CE-560-XL (CITATION EXCEL)|CL-604 (CHALLENGER 604)|CL-605 (CHALLENGER 605)
VISTAJET LTD.,Nigeria,Abuja,1,48,medium,pending,,44 203 617 3106,"51/52 CHARLES ST., MAYFAIR, LONDON, United Kingdom",https://www.aircharterguide.com/Operator_Info/VISTAJET+LTD./96564/Abuja/65858,ACG,EDDM,BD-100-1A10 (CHALLENGER 350)|BD-6000-1A10 (GLOBAL 6000)|CL-605 (CHALLENGER 605)|CL-850 (CHALLENGER)
WARSAW CARGO,Poland,Warsaw,1,2,medium,pending,,48 509 563 533,"PLAC BANKOWY 2, WARSAW, Poland, Email:",https://www.aircharterguide.com/Operator_Info/WARSAW+CARGO/101091/Warsaw/71896,ACG,EPWA,A321-231|A321-232(PCF)
WASAYA AIRWAYS LP,Canada,Pickle Lake,5,13,high,pending,,807-473-1200,"201 KELNER PLACE, THUNDER BAY, ON, Canada, Fax: 807-623-8134",https://www.aircharterguide.com/Operator_Info/WASAYA+AIRWAYS+LP/328/Pickle+Lake/341,ACG,CYPL,AS-ATR42-320|AS-ATR72-212|BE-1900D (COMMUTER)|CE-208B (GRAND CARAVAN)|DHC-8-100 (DASH 8)|DHC-8-300 (DASH 8-300)|PC-12-45 (PILATUS)
WEST ATLANTIC,United Kingdom,East Midlands,16,34,high,pending,,44 2476-882649,"OSPREY HOUSE, 5 HUNTER ROAD, PEGASUS BUSINESS PARK EAST, CASTLE DONINGTON, United Kingdom",https://www.aircharterguide.com/Operator_Info/WEST+ATLANTIC/2321/East+Midlands/2552,ACG,EGNX,72-211(F)|737-43Q(SF)|737-46J(SF)|737-476(SF)|737-4C9(SF)|737-83N(BCF)|737-86N(BCF)|737-8F2(BCF)|AS-ATR72|ATR 72-212(F)|ATR72-211(F)|B-737-300 (BOEING 737)|B-737-400F|B-737-800 (B-737-800)|Boeing 737-436(SF)|Boeing 737-4K5(SF)|Boeing 737-83N(BCF)|Boeing 737-83NBCF (W)|Boeing 737-8Q8(SF)
WESTAIR CHARTER,United States,Boise,3,3,high,pending,,208-338-1853,"4300 S. KENNEDY ST., BOISE, ID, United States, Fax: 208-908-0678",https://www.aircharterguide.com/Operator_Info/WESTAIR+CHARTER/10854/Boise/11967,ACG,KBOI,PC-12-47E (PILATUS)|PC-24
"WESTERN AVIATION MANAGEMENT, INC.",United States,La Verne,2,2,medium,pending,,909-228-3518,"69 QUIET HILLS RD., POMONA, CA, United States, Fax: 877-623-6148","https://www.aircharterguide.com/Operator_Info/WESTERN+AVIATION+MANAGEMENT,+INC./1788/La+Verne/1982",ACG,KPOC,CE-310Q (CESSNA 310)|CE-421B (GOLDEN EAGLE)
"WESTWIND HELICOPTERS, INC.",United States,Houston,1,15,medium,pending,,409-925-7300,"8426 FM 2004, SANTA FE, TX, United States, Fax: 409-925-4433","https://www.aircharterguide.com/Operator_Info/WESTWIND+HELICOPTERS,+INC./1635/Houston/1805",ACG,KLHM,HB-206-B (JETRANGER)|HB-206L-4 (LONGRANGER IV)|HB-407 (TEXTRON)|SK-76C+
YAKUTIA AIRLINES,Russian Federation,Yakutsk,1,19,medium,pending,,7 4112 443303,"BYKOVSKOGO STR. 9, YAKUTSK - SAKHA REPUBLIC, Russian Federation, Fax: 7 4112 443060",https://www.aircharterguide.com/Operator_Info/YAKUTIA+AIRLINES/96336/Yakutsk/65545,ACG,UEEE,737-76N|737-76N (W)|737-7CT|737-86N|737-8Q8|B-737-700|B-737-800 (B-737-800)|DHC-8-300 (DASH 8-300)|Dash 8-300|SBJ-100|SSJ-100 (SUPERJET)|SuperJet 100-95LR|Superjet 100-95LR
ZHEZKAZGAN AIR,Kazakhstan,Almaty,1,1,medium,pending,https://www.zhezkazganair.ru/,7 710 274 57 50,"M40M7E6, ACCOUNTING QUARTER 067, BUILDING 60, USHTOBI, Kazakhstan",https://www.aircharterguide.com/Operator_Info/ZHEZKAZGAN+AIR/101093/Almaty/71898,ACG,UAAA,LET-410 UVPE
